"","date","CC","treatment","si","ph","tmp","mnfe","param","value"
"84",2023-03-10,48,"V","0","1","0","0","True Colour",7
"85",2023-03-10,23,"W","-1","1","-1","1","Apparent Colour",40
"86",2023-03-10,23,"W","-1","1","-1","1","True Colour",1
"87",2023-03-10,49,"W","-1","1","-1","1","Apparent Colour",42
"88",2023-03-10,49,"W","-1","1","-1","1","True Colour",4
"89",2023-03-10,24,"X","1","1","-1","1","Apparent Colour",35
"90",2023-03-10,24,"X","1","1","-1","1","True Colour",5
"91",2023-03-10,50,"X","1","1","-1","1","Apparent Colour",35
"92",2023-03-10,50,"X","1","1","-1","1","True Colour",2
"93",2023-03-10,25,"Y","-1","1","1","1","Apparent Colour",39
"94",2023-03-10,25,"Y","-1","1","1","1","True Colour",2
"95",2023-03-10,51,"Y","-1","1","1","1","Apparent Colour",41
"96",2023-03-10,51,"Y","-1","1","1","1","True Colour",3
"97",2023-03-10,26,"K","1","1","1","1","Apparent Colour",33
"98",2023-03-10,26,"K","1","1","1","1","True Colour",5
"99",2023-03-10,52,"K","1","1","1","1","Apparent Colour",34
"100",2023-03-10,52,"K","1","1","1","1","True Colour",3
"101",2023-03-22,1,"A","-1","-1","-1","-1","Apparent Colour",3
"102",2023-03-22,1,"A","-1","-1","-1","-1","True Colour",0
"103",2023-03-22,27,"A","-1","-1","-1","-1","Apparent Colour",2
"104",2023-03-22,27,"A","-1","-1","-1","-1","True Colour",0
"105",2023-03-22,2,"B","1","-1","-1","-1","Apparent Colour",5
"106",2023-03-22,2,"B","1","-1","-1","-1","True Colour",1
"107",2023-03-22,28,"B","1","-1","-1","-1","Apparent Colour",4
"108",2023-03-22,28,"B","1","-1","-1","-1","True Colour",1
"109",2023-03-22,3,"C","-1","-1","1","-1","Apparent Colour",3
"110",2023-03-22,3,"C","-1","-1","1","-1","True Colour",0
"111",2023-03-22,29,"C","-1","-1","1","-1","Apparent Colour",4
"112",2023-03-22,29,"C","-1","-1","1","-1","True Colour",0
"113",2023-03-22,4,"D","1","-1","1","-1","Apparent Colour",4
"114",2023-03-22,4,"D","1","-1","1","-1","True Colour",3
