"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",28804.3412050643,0.0457500169570394,61.9297791393227,2.29431281556405e-278,24058.9527935556,34481.8358783184
"2","si",30.0882605326256,0.0540629742263407,2.43274593230372,0.0152473688965101,5.24491759378019,60.795940700175
"3","tmp",54.3775603308299,0.0542015392716848,4.00570825321968,6.8808035606851e-05,24.8277968900851,90.9224686123737
"4","ph",-34.0394842132802,0.0635291706595902,-3.27498269155309,0.00111148606126459,-48.580033803929,-15.3871547433542
"5","mnfe",-44.3498512952808,0.0549951040257336,-5.32852375234676,1.3570576432912e-07,-55.1417327138555,-30.9616880406365
"6","si:tmp",12.4117468360333,0.05745441027126,1.01818341425649,0.308960959238134,-10.2568867847142,40.8063568779349
"7","si:ph",23.6622434120285,0.057479582283745,1.84747184404905,0.0651225933576793,-1.28487434355862,54.9139541078821
"8","si:mnfe",3.13749984048126,0.0574515590608846,0.268860083178687,0.788120717838921,-17.6599951985879,29.1880404792355
"9","tmp:ph",-41.0906415084663,0.0575215908882208,-4.5997529969074,5.06481622100401e-06,-52.982518804395,-26.1910159872958
"10","tmp:mnfe",-3.00219077770563,0.0574584914982895,-0.265250551155176,0.790898629635756,-22.5637323587173,21.500884282144
"11","ph:mnfe",-13.6031793980503,0.0577930493892536,-1.26502504184266,0.206305312333892,-31.1172154211184,8.36394979906128
