"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",288.539828123906,0.0455194814836633,62.2242712812471,2.39209656383006e-278,241.386658570425,344.904034493205
"2","si",1.29609004344628,0.0537933369127458,2.41063381051341,0.0161971125678804,1.0496807471149,1.60034315703868
"3","tmp",1.54045374488233,0.0539296385566624,4.00593276837785,6.8800252552905e-05,1.24692025356215,1.90308701245562
"4","ph",0.661798349331131,0.0632553428031306,-3.26292103888773,0.00115954375903482,0.516463446143409,0.848031082253582
"5","mnfe",0.555282635611702,0.0547215855906337,-5.37519184757924,1.06234802430194e-07,0.448080347577877,0.68813284733111
"6","si:tmp",1.1231623841306,0.0571910596875646,1.01544073891016,0.310267816221434,0.897594770220179,1.4054156541225
"7","si:ph",1.24193348444654,0.0571937315670228,1.89417110009014,0.0586391802614673,0.992502367389545,1.55405047934173
"8","tmp:ph",0.590574736026683,0.0572344614741105,-4.60089143686128,5.04495048060254e-06,0.471887790473588,0.73911325080683
"9","si:mnfe",1.03304168563959,0.0571850025546234,0.284231370377225,0.776322210844368,0.825592847537275,1.29261672681934
"10","tmp:mnfe",0.974748988247658,0.0571904548809087,-0.223597531564308,0.82313966395285,0.778989468286027,1.21970274152791
"11","ph:mnfe",0.866318907607926,0.0575106905608622,-1.24761312392623,0.212615177017638,0.691466932435784,1.08538588683514
"12","si:tmp:ph",0.91481565184763,0.057190882434938,-0.778382004307765,0.436622757755289,0.731091360389467,1.14471011724113
"13","si:tmp:mnfe",1.02441574596963,0.0571908381688299,0.210894322558179,0.833034819981776,0.818680386336868,1.28185264738795
"14","si:ph:mnfe",0.857201132081461,0.0571850365831044,-1.34722913472308,0.178368713841453,0.685063380293059,1.07259240820522
"15","tmp:ph:mnfe",0.822794909459359,0.0571910726843619,-1.7052338670889,0.088621290204605,0.657550840825508,1.02956520013315
"16","si:tmp:ph:mnfe",0.754011368525596,0.0571909506532228,-2.46846599193384,0.0138216294475932,0.602581567817155,0.943495742701434
