"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",222829.614095673,0.021001805501981,183.542343110615,0,205211.949006172,241959.037875832
"2","si",8.27894507721176,0.0246612602362726,1.6126616280626,0.107032690855076,-1.698394625267,19.2689570260814
"3","tmp",22.4389481913965,0.0247000123175911,4.09802098575921,4.39452339065217e-05,11.1399540622872,34.8866495465147
"4","ph",-24.1044652722814,0.0312588432271944,-4.41174889781298,1.10009284337731e-05,-32.8569486674345,-14.2110452640006
"5","mnfe",41.1812470059336,0.0252109041768907,6.83978480617584,1.15979921186437e-11,27.8962740295997,55.8461703234407
"6","si:tmp",-2.98736988745514,0.0261171240307054,-0.580634540377967,0.561575787854927,-12.4277705375919,7.47071827597436
"7","si:ph",12.3486329065321,0.0261300858144529,2.22801879086545,0.0260300752172498,1.41071702687903,24.4662860693626
"8","si:mnfe",-12.2940335833211,0.0261188650230003,-2.51121663769292,0.0121381223279686,-20.8293333482956,-2.83855283264797
"9","tmp:ph",-14.7212715771825,0.0261516195047164,-3.04465152277171,0.00237088311590181,-23.0302425003283,-5.51533800215385
"10","tmp:mnfe",-12.551790418521,0.0261217466866914,-2.56727584045078,0.0103482734316369,-21.0628976797484,-3.12300383181956
"11","ph:mnfe",-6.28752364994296,0.0262724775550757,-1.23587228097949,0.216703496404608,-15.458282320952,3.87804346488287
